Tên khách hàng (*),Số điện thoại (*),Mã số thuế,Email,Địa chỉ,Hạn mức nợ (VNĐ),Số dư nợ đầu kỳ (VNĐ),Kênh nhận HĐ (QR/EMAIL/ZALO)
Phạm Quang Hạnh,0910000001,,khachhang.00001@gmail.com,"Số 2 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Phan Anh Khánh,0910000002,,khachhang.00002@gmail.com,"Số 3 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Đặng Gia Minh,0910000003,,khachhang.00003@gmail.com,"Số 4 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Hồ Đình Quân,0910000004,,khachhang.00004@gmail.com,"Số 5 Lê Lợi, Thái Nguyên",11000000,2000000,EMAIL
Lý Thanh Trang,0910000005,0300000005,khachhang.00005@gmail.com,"Số 6 Giải Phóng, Nam Định",12500000,0,ZALO
Lâm Hồng Vy,0910000006,,khachhang.00006@gmail.com,"Số 7 Lý Thường Kiệt, Thanh Hóa",14000000,0,QR
Lê Mạnh Hà,0910000007,,khachhang.00007@gmail.com,"Số 8 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Huỳnh Đức Hùng,0910000008,,khachhang.00008@gmail.com,"Số 9 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,0,ZALO
Võ Tuấn Long,0910000009,,khachhang.00009@gmail.com,"Số 10 Cầu Giấy, Hải Phòng",18500000,0,QR
Đỗ Bảo Phong,0910000010,0300000010,khachhang.00010@gmail.com,"Số 11 Pasteur, Bình Dương",5000000,0,EMAIL
Dương Thị Thịnh,0910000011,,khachhang.00011@gmail.com,"Số 12 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Đoàn Minh Vinh,0910000012,,khachhang.00012@gmail.com,"Số 13 Hai Bà Trưng, Quảng Ninh",8000000,2000000,QR
Trần Xuân Dũng,0910000013,,khachhang.00013@gmail.com,"Số 14 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
